track_no,title,performed_by,genre_a,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,cluster_no
1,Pingo de dó,Hugo & Guilherme,1,sertanejo,0.522,0.738,0,-4.48,0,0.117,0.685,0,0.652,0.608,129.685,audio_features,1a17gIb57XhPj2CMbqYABw,spotify:track:1a17gIb57XhPj2CMbqYABw,https://api.spotify.com/v1/tracks/1a17gIb57XhPj2CMbqYABw,https://api.spotify.com/v1/audio-analysis/1a17gIb57XhPj2CMbqYABw,161840,4,b,1
2,Troca,Jorge & Matheus,1,sertanejo,0.758,0.697,1,-4.103,1,0.0347,0.647,0,0.0887,0.81,94.98,audio_features,6HV630GY0GT3RN2efFRmbP,spotify:track:6HV630GY0GT3RN2efFRmbP,https://api.spotify.com/v1/tracks/6HV630GY0GT3RN2efFRmbP,https://api.spotify.com/v1/audio-analysis/6HV630GY0GT3RN2efFRmbP,171264,4,u,17
3,Foto nao é fato,Diego & Victor Hugo,1,sertanejo,0.541,0.863,11,-3.931,0,0.169,0.149,0,0.298,0.745,156.877,audio_features,5QEpLMQPyCB9UCzdOKG3uW,spotify:track:5QEpLMQPyCB9UCzdOKG3uW,https://api.spotify.com/v1/tracks/5QEpLMQPyCB9UCzdOKG3uW,https://api.spotify.com/v1/audio-analysis/5QEpLMQPyCB9UCzdOKG3uW,166760,4,s,19
4,Sua cama nao explica nada,"Hugo & Vitor, Marcos & Belutti",1,sertanejo,0.534,0.895,1,-4.217,1,0.0579,0.431,0,0.393,0.612,160.12,audio_features,0UoxMEhVm61u9ZLD4iDu83,spotify:track:0UoxMEhVm61u9ZLD4iDu83,https://api.spotify.com/v1/tracks/0UoxMEhVm61u9ZLD4iDu83,https://api.spotify.com/v1/audio-analysis/0UoxMEhVm61u9ZLD4iDu83,175103,4,s,19
5,Batom de cereja,Israel & Rodolffo,1,sertanejo,0.606,0.908,6,-6.201,0,0.0565,0.556,0,0.19,0.798,171.966,audio_features,2MZQAvsA7aZDssppBLRxYp,spotify:track:2MZQAvsA7aZDssppBLRxYp,https://api.spotify.com/v1/tracks/2MZQAvsA7aZDssppBLRxYp,https://api.spotify.com/v1/audio-analysis/2MZQAvsA7aZDssppBLRxYp,140942,4,u,17
6,Acertou na mosca,"Tierry, Gusttavo Lima",1,sertanejo,0.622,0.725,6,-3.754,1,0.0397,0.319,0,0.407,0.694,129.87,audio_features,0SlCt3S4bEGUPo07yZIlQP,spotify:track:0SlCt3S4bEGUPo07yZIlQP,https://api.spotify.com/v1/tracks/0SlCt3S4bEGUPo07yZIlQP,https://api.spotify.com/v1/audio-analysis/0SlCt3S4bEGUPo07yZIlQP,145962,4,b,1
7,Um beijo pro meu ex,"Solange Almeida, Diego & Victor Hugo",1,sertanejo,0.684,0.769,7,-4.127,1,0.0995,0.489,0,0.583,0.741,117.871,audio_features,6hVFhSVy927LMQ2q2CegCl,spotify:track:6hVFhSVy927LMQ2q2CegCl,https://api.spotify.com/v1/tracks/6hVFhSVy927LMQ2q2CegCl,https://api.spotify.com/v1/audio-analysis/6hVFhSVy927LMQ2q2CegCl,150368,4,b,1
8,Sigilo,Guilherme & Benuto,1,sertanejo,0.535,0.765,7,-3.716,0,0.184,0.433,0,0.125,0.627,108.521,audio_features,6vnKRiOjUjYT59xl4awHTx,spotify:track:6vnKRiOjUjYT59xl4awHTx,https://api.spotify.com/v1/tracks/6vnKRiOjUjYT59xl4awHTx,https://api.spotify.com/v1/audio-analysis/6vnKRiOjUjYT59xl4awHTx,165367,4,s,19
9,Coracao de isca,Bruno & Marrone,1,sertanejo,0.719,0.793,0,-4.402,0,0.0421,0.352,0,0.557,0.766,120.108,audio_features,2Nlf97QqqcZ2x9Qb4h1Qt2,spotify:track:2Nlf97QqqcZ2x9Qb4h1Qt2,https://api.spotify.com/v1/tracks/2Nlf97QqqcZ2x9Qb4h1Qt2,https://api.spotify.com/v1/audio-analysis/2Nlf97QqqcZ2x9Qb4h1Qt2,147397,4,b,1
10,Localiza ai bebe,Joao Bosco e Gabriel,1,sertanejo,0.749,0.929,2,-1.975,1,0.182,0.356,0,0.901,0.923,164.988,audio_features,7sCdzif8vD8XN1jgdYFL1q,spotify:track:7sCdzif8vD8XN1jgdYFL1q,https://api.spotify.com/v1/tracks/7sCdzif8vD8XN1jgdYFL1q,https://api.spotify.com/v1/audio-analysis/7sCdzif8vD8XN1jgdYFL1q,146882,4,g,6
